,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
20,16,2,2,1,26.195160006060394,5.442475318908691,1,200,"0     0.004503
1     0.003757
2     0.003243
3     0.003524
4     0.003305
        ...   
95    0.003247
96    0.002992
97    0.003609
98    0.003368
99    0.002981
Length: 100, dtype: float64","0     0.023437
1     0.026064
2     0.029058
3     0.027340
4     0.027906
        ...   
95    0.025525
96    0.026501
97    0.026702
98    0.026946
99    0.026154
Length: 100, dtype: float64",[0.01140357 0.01121823 0.01103729 ... 0.06929907 0.06914851 0.06899703],[0.01633408 0.01615441 0.01599057 ... 0.14610118 0.14592905 0.1457562 ]
21,16,2,2,1,26.181998407899897,5.576822757720947,1,210,"0     0.003222
1     0.003425
2     0.002116
3     0.003420
4     0.003470
        ...   
95    0.002726
96    0.003918
97    0.002229
98    0.002545
99    0.002496
Length: 100, dtype: float64","0     0.015698
1     0.015855
2     0.015792
3     0.016282
4     0.016251
        ...   
95    0.015537
96    0.015346
97    0.014774
98    0.015853
99    0.016489
Length: 100, dtype: float64",[0.01696163 0.01738336 0.01781441 ... 0.0788414  0.07873367 0.07862518],[0.01959253 0.01989678 0.02021419 ... 0.16526323 0.16514158 0.16502047]
22,16,2,2,1,30.492504897371873,5.423721075057983,1,220,"0     0.002189
1     0.001905
2     0.003123
3     0.002146
4     0.002635
        ...   
95    0.002251
96    0.002136
97    0.002002
98    0.002361
99    0.002488
Length: 100, dtype: float64","0     0.012755
1     0.012907
2     0.013706
3     0.013894
4     0.013147
        ...   
95    0.012097
96    0.012793
97    0.012755
98    0.013022
99    0.012292
Length: 100, dtype: float64",[0.02472655 0.02522    0.02571534 ... 0.08833822 0.08824964 0.0881601 ],[0.02669838 0.0270386  0.02737747 ... 0.17695546 0.17691202 0.17687087]
23,16,2,2,1,28.987224152917754,5.361307144165039,1,230,"0     0.002236
1     0.001465
2     0.002008
3     0.001581
4     0.002456
        ...   
95    0.002170
96    0.001910
97    0.002031
98    0.003793
99    0.001341
Length: 100, dtype: float64","0     0.012653
1     0.013194
2     0.013226
3     0.012874
4     0.012036
        ...   
95    0.011221
96    0.010784
97    0.010529
98    0.010655
99    0.010353
Length: 100, dtype: float64",[0.03466325 0.03514986 0.03564186 ... 0.13595435 0.13596585 0.13597725],[0.03224824 0.03255496 0.03286789 ... 0.1802202  0.18027057 0.18031646]
24,16,2,2,1,24.60460743778186,5.3908491134643555,1,240,"0     0.002185
1     0.003721
2     0.001865
3     0.001913
4     0.002252
        ...   
95    0.002025
96    0.002570
97    0.001949
98    0.002040
99    0.002028
Length: 100, dtype: float64","0     0.014409
1     0.014615
2     0.015225
3     0.015209
4     0.015348
        ...   
95    0.015212
96    0.014969
97    0.015027
98    0.015589
99    0.015398
Length: 100, dtype: float64",[0.05562291 0.05646772 0.05732781 ... 0.13476802 0.13485704 0.13494566],[0.04468217 0.0452459  0.04581698 ... 0.18113904 0.18127345 0.18140422]
25,16,2,2,1,25.56904135665328,5.340893983840942,1,250,"0     0.002624
1     0.001524
2     0.001851
3     0.002119
4     0.001977
        ...   
95    0.002241
96    0.001756
97    0.001880
98    0.001896
99    0.003351
Length: 100, dtype: float64","0     0.014244
1     0.014243
2     0.014648
3     0.015227
4     0.015014
        ...   
95    0.013829
96    0.014400
97    0.014530
98    0.014157
99    0.014460
Length: 100, dtype: float64",[0.07501134 0.07570154 0.07638326 ... 0.13477153 0.13493776 0.13510229],[0.05890221 0.0594504  0.05998412 ... 0.17997988 0.1801905  0.18040105]
26,16,2,2,1,26.807500907981083,5.333910942077637,1,260,"0     0.002286
1     0.002232
2     0.001286
3     0.001460
4     0.002757
        ...   
95    0.001584
96    0.001834
97    0.001669
98    0.001409
99    0.003207
Length: 100, dtype: float64","0     0.011671
1     0.011928
2     0.011894
3     0.011781
4     0.011485
        ...   
95    0.010818
96    0.010913
97    0.010995
98    0.010608
99    0.010377
Length: 100, dtype: float64",[0.08286922 0.08310257 0.08331531 ... 0.12155236 0.12176453 0.12197593],[0.06282626 0.06291853 0.06298593 ... 0.15682495 0.15707513 0.15732457]
27,16,2,2,1,26.31730689621928,5.3847761154174805,1,270,"0     0.001859
1     0.002257
2     0.002927
3     0.001400
4     0.001700
        ...   
95    0.002358
96    0.001797
97    0.003340
98    0.002674
99    0.002203
Length: 100, dtype: float64","0     0.012447
1     0.013170
2     0.013411
3     0.013559
4     0.013706
        ...   
95    0.012438
96    0.012328
97    0.011820
98    0.012452
99    0.013015
Length: 100, dtype: float64",[0.05684418 0.05511387 0.05341392 ... 0.10021668 0.10048249 0.10074378],[0.05891401 0.05858581 0.05823902 ... 0.13309522 0.1333964  0.1336997 ]
28,16,2,2,1,25.571666575282723,5.382675886154175,1,280,"0     0.001787
1     0.002104
2     0.001614
3     0.002682
4     0.001907
        ...   
95    0.002363
96    0.001997
97    0.003115
98    0.001618
99    0.002337
Length: 100, dtype: float64","0     0.018797
1     0.018394
2     0.018801
3     0.019513
4     0.019325
        ...   
95    0.018174
96    0.018375
97    0.017813
98    0.017861
99    0.017689
Length: 100, dtype: float64",[0.03795474 0.03762574 0.03729425 ... 0.07937348 0.07973687 0.08009825],[0.04958621 0.04910024 0.04860844 ... 0.10724763 0.1076307  0.10801213]
29,16,2,2,1,26.92304641678393,5.352295875549316,1,290,"0     0.002096
1     0.001103
2     0.002712
3     0.003630
4     0.002267
        ...   
95    0.001960
96    0.001863
97    0.002189
98    0.001758
99    0.002749
Length: 100, dtype: float64","0     0.018688
1     0.017747
2     0.017711
3     0.018657
4     0.017907
        ...   
95    0.015160
96    0.015193
97    0.015457
98    0.014973
99    0.015332
Length: 100, dtype: float64",[0.02998216 0.02967485 0.02936702 ... 0.05734915 0.05774088 0.05813223],[0.03926303 0.0388342  0.03840715 ... 0.0777975  0.0782542  0.07871013]
30,16,2,2,1,27.283099571471514,5.362478256225586,1,300,"0     0.001918
1     0.002084
2     0.002047
3     0.002118
4     0.001936
        ...   
95    0.002195
96    0.002711
97    0.002134
98    0.002433
99    0.002978
Length: 100, dtype: float64","0     0.014349
1     0.014880
2     0.015334
3     0.015501
4     0.014532
        ...   
95    0.014923
96    0.013950
97    0.012638
98    0.013268
99    0.013285
Length: 100, dtype: float64",[0.02499368 0.02471039 0.0244271  ... 0.0392791  0.03947222 0.03966706],[0.03413097 0.0337818  0.03343102 ... 0.05268676 0.05302938 0.05337714]
31,16,2,2,1,28.96455627514339,5.3077075481414795,1,310,"0     0.002304
1     0.002345
2     0.001705
3     0.001708
4     0.002027
        ...   
95    0.002557
96    0.001458
97    0.002449
98    0.002809
99    0.000987
Length: 100, dtype: float64","0     0.010997
1     0.011508
2     0.012518
3     0.011911
4     0.011358
        ...   
95    0.010252
96    0.011255
97    0.010929
98    0.011429
99    0.011760
Length: 100, dtype: float64",[0.01983024 0.01957057 0.01931773 ... 0.01964054 0.01958745 0.01953929],[0.02904579 0.0286687  0.0282851  ... 0.0435382  0.04345515 0.04338038]
32,16,2,2,1,28.804427248574953,5.387010097503662,1,320,"0     0.001518
1     0.002735
2     0.001749
3     0.001747
4     0.001715
        ...   
95    0.002710
96    0.001854
97    0.002768
98    0.001522
99    0.002507
Length: 100, dtype: float64","0     0.011224
1     0.011283
2     0.010723
3     0.010334
4     0.011524
        ...   
95    0.009174
96    0.008608
97    0.008809
98    0.009516
99    0.009649
Length: 100, dtype: float64",[0.01720561 0.01692187 0.01663448 ... 0.02301098 0.0229062  0.02280142],[0.02350115 0.02304264 0.02257719 ... 0.05186253 0.05163457 0.05140535]
33,16,2,2,1,31.002326874084524,5.3052167892456055,1,330,"0     0.001587
1     0.001657
2     0.002009
3     0.001298
4     0.002130
        ...   
95    0.001570
96    0.001225
97    0.001488
98    0.002864
99    0.001869
Length: 100, dtype: float64","0     0.008958
1     0.009262
2     0.009034
3     0.009164
4     0.010702
        ...   
95    0.010995
96    0.011124
97    0.011587
98    0.012938
99    0.012786
Length: 100, dtype: float64",[0.0127376  0.01233533 0.01192745 ... 0.03946531 0.03949627 0.03952294],[0.01699621 0.01647994 0.01596008 ... 0.05673517 0.05672199 0.05670293]
34,16,2,2,1,30.98505530090403,5.293489694595337,1,340,"0     0.001383
1     0.002273
2     0.003284
3     0.001205
4     0.001612
        ...   
95    0.001337
96    0.001425
97    0.001769
98    0.002947
99    0.001545
Length: 100, dtype: float64","0     0.014183
1     0.012907
2     0.013480
3     0.013367
4     0.014952
        ...   
95    0.016339
96    0.016289
97    0.016846
98    0.017436
99    0.017038
Length: 100, dtype: float64",[0.0085529  0.0081383  0.00772306 ... 0.0293978  0.02953847 0.02967689],[0.01141526 0.01090387 0.01039339 ... 0.05015093 0.05042117 0.05068587]
35,16,2,2,1,33.63797177038647,5.338773488998413,1,350,"0     0.002143
1     0.001436
2     0.002758
3     0.002096
4     0.001843
        ...   
95    0.001175
96    0.001785
97    0.001362
98    0.000981
99    0.001583
Length: 100, dtype: float64","0     0.021464
1     0.021012
2     0.019678
3     0.019115
4     0.019587
        ...   
95    0.027833
96    0.029121
97    0.027489
98    0.027136
99    0.025779
Length: 100, dtype: float64",[0.00406831 0.00364378 0.00323321 ... 0.02277285 0.02285668 0.02293994],[0.00533571 0.00489021 0.00445139 ... 0.03407363 0.03443848 0.03480571]
36,16,2,2,1,35.62469906263963,5.290933847427368,1,360,"0     0.001920
1     0.001485
2     0.001346
3     0.001348
4     0.001459
        ...   
95    0.001812
96    0.003162
97    0.001714
98    0.001013
99    0.001690
Length: 100, dtype: float64","0     0.024487
1     0.025979
2     0.025699
3     0.025342
4     0.023837
        ...   
95    0.030510
96    0.028806
97    0.028259
98    0.028511
99    0.029669
Length: 100, dtype: float64","[-0.00105424 -0.00119755  0.00052141 ...  0.01751014  0.01742344
  0.01734081]",[0.00242649 0.00270894 0.00300444 ... 0.02592983 0.02579879 0.02568366]
37,16,2,2,1,35.227145427788514,5.551262855529785,1,370,"0     0.001147
1     0.002304
2     0.001855
3     0.001402
4     0.003626
        ...   
95    0.001413
96    0.001280
97    0.001480
98    0.001252
99    0.001131
Length: 100, dtype: float64","0     0.028598
1     0.028967
2     0.031321
3     0.032837
4     0.030453
        ...   
95    0.031093
96    0.033013
97    0.033043
98    0.032347
99    0.032911
Length: 100, dtype: float64",[0.01368775 0.01405412 0.01441208 ... 0.02210406 0.02198791 0.02187113],[0.00670752 0.00692809 0.00714101 ... 0.03950758 0.03910091 0.0386941 ]
38,16,2,2,1,35.88875408649184,5.337721586227417,1,380,"0     0.001020
1     0.001449
2     0.001665
3     0.002669
4     0.001344
        ...   
95    0.003571
96    0.001919
97    0.001121
98    0.001749
99    0.001702
Length: 100, dtype: float64","0     0.031556
1     0.031866
2     0.031476
3     0.031423
4     0.031693
        ...   
95    0.034149
96    0.034431
97    0.035852
98    0.035696
99    0.035339
Length: 100, dtype: float64",[0.0192563  0.01958441 0.01989878 ... 0.02447657 0.02442356 0.02437391],[0.00935504 0.00946137 0.00955897 ... 0.05231724 0.05208273 0.05184196]
